RA,Fase,Turma,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,INDE 22,Cg,Cf,Ct,Nº Av,Avaliador1,Avaliador2,Avaliador3,Avaliador4,IAA,IEG,IPS,IDA,Mat,Por,Ing,IPV,IAN,Fase_Ideal,Defasagem,IPP,INDE 23,INDE_ano_atual,pedra_ano_atual,ano,Fase_Ideal_1,Fase_Ideal_2
RA-405,2,K,Masculino,2016,Escola Pública,Quartzo,Quartzo,Quartzo,5.661,769.0,142.0,12.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.5,6.2,5.0,3.3,2.7,3.8,,6.0,5.0,Fase 3 (7º e 8º ano),-1,6.109999999999989,,5.661,Quartzo,2022,Fase 3,7° e 8° ano
RA-406,2,K,Feminino,2019,Escola Pública,Ametista,Ametista,Ametista,7.496,314.0,47.0,3.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.5,9.5,7.5,6.6,5.4,7.8,,7.333,5.0,Fase 3 (7º e 8º ano),-1,6.094000000000008,,7.496,Ametista,2022,Fase 3,7° e 8° ano
RA-407,2,K,Masculino,2022,Escola Pública,,,Ametista,7.195,431.0,64.0,5.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.5,9.3,7.5,6.0,4.0,8.0,,7.056,5.0,Fase 3 (7º e 8º ano),-1,6.238000000000001,,7.195,Ametista,2022,Fase 3,7° e 8° ano
RA-408,2,K,Feminino,2022,Escola Pública,,,Ágata,6.725,578.0,94.0,6.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.0,9.7,7.5,3.3,1.0,5.5,,7.333,5.0,Fase 3 (7º e 8º ano),-1,6.083999999999996,,6.725,Ágata,2022,Fase 3,7° e 8° ano
RA-409,2,K,Feminino,2022,Escola Pública,,,Topázio,8.15,99.0,13.0,1.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,7.9,9.7,7.5,7.8,6.0,9.5,,7.5,10.0,Fase 2 (5º e 6º ano),0,6.100000000000003,,8.15,Topázio,2022,Fase 2,5° e 6° ano
RA-410,2,K,Masculino,2018,Escola Pública,Quartzo,Quartzo,Quartzo,5.675,763.0,141.0,11.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,7.4,6.5,6.3,2.0,2.0,2.0,,7.444,5.0,Fase 4 (9º ano),-2,6.161999999999992,,5.675,Quartzo,2022,Fase 4,9° ano
RA-411,2,L,Feminino,2019,Escola Pública,Ametista,Ametista,Ametista,7.232,415.0,61.0,12.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,6.4,8.6,7.5,7.1,6.7,7.5,,7.833,5.0,Fase 3 (7º e 8º ano),-1,6.354000000000006,,7.232,Ametista,2022,Fase 3,7° e 8° ano
RA-412,2,L,Feminino,2018,Escola Pública,Ágata,Ágata,Ametista,7.556,292.0,45.0,8.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.5,9.0,7.5,7.3,6.5,8.2,,7.778,5.0,Fase 3 (7º e 8º ano),-1,6.404000000000005,,7.556,Ametista,2022,Fase 3,7° e 8° ano
RA-413,2,L,Feminino,2022,Escola Pública,,,Ágata,6.408,660.0,120.0,15.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,6.4,8.7,5.6,4.7,4.2,5.2,,7.056,5.0,Fase 3 (7º e 8º ano),-1,6.168000000000005,,6.408,Ágata,2022,Fase 3,7° e 8° ano
RA-414,2,L,Feminino,2021,Escola Pública,,Ágata,Ametista,7.284,399.0,58.0,11.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.0,9.3,7.5,5.9,5.7,6.2,,7.667,5.0,Fase 3 (7º e 8º ano),-1,6.605999999999987,,7.284,Ametista,2022,Fase 3,7° e 8° ano
RA-415,2,L,Feminino,2019,Escola Pública,Topázio,Ametista,Ametista,7.695,235.0,37.0,7.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.0,8.3,7.5,6.2,4.8,7.5,,8.056,10.0,Fase 2 (5º e 6º ano),0,6.337999999999999,,7.695,Ametista,2022,Fase 2,5° e 6° ano
RA-416,2,L,Masculino,2018,Rede Decisão,Ametista,Ametista,Ametista,7.913,164.0,23.0,6.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.5,9.3,8.8,7.2,6.7,7.7,,8.222,5.0,Fase 3 (7º e 8º ano),-1,6.385999999999994,,7.913,Ametista,2022,Fase 3,7° e 8° ano
RA-417,2,L,Feminino,2022,Escola Pública,,,Topázio,8.428,43.0,4.0,2.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,10.0,10.0,7.5,8.0,6.0,10.0,,9.556,5.0,Fase 3 (7º e 8º ano),-1,6.668000000000012,,8.428,Topázio,2022,Fase 3,7° e 8° ano
RA-418,2,L,Feminino,2020,Rede Decisão,Topázio,Topázio,Topázio,8.175,93.0,12.0,3.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.0,9.4,7.5,7.5,6.5,8.5,,8.222,10.0,Fase 2 (5º e 6º ano),0,6.006000000000009,,8.175,Topázio,2022,Fase 2,5° e 6° ano
RA-419,2,L,Feminino,2019,Rede Decisão,Ametista,Ametista,Ametista,7.359,375.0,55.0,10.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,7.5,9.2,5.6,6.9,5.3,8.5,,8.389,5.0,Fase 3 (7º e 8º ano),-1,6.512000000000011,,7.359,Ametista,2022,Fase 3,7° e 8° ano
RA-420,2,L,Feminino,2019,Rede Decisão,Topázio,Ametista,Ametista,7.461,331.0,49.0,9.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.5,9.0,5.6,4.5,1.3,7.7,,8.0,10.0,Fase 2 (5º e 6º ano),0,6.509999999999998,,7.461,Ametista,2022,Fase 2,5° e 6° ano
RA-421,2,L,Masculino,2021,Escola Pública,,Topázio,Topázio,8.717,14.0,2.0,1.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.5,9.3,7.5,8.8,9.2,8.5,,9.111,10.0,Fase 2 (5º e 6º ano),0,6.747999999999994,,8.717,Topázio,2022,Fase 2,5° e 6° ano
RA-422,2,L,Masculino,2022,Escola Pública,,,Ágata,6.746,569.0,90.0,13.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.5,10.0,7.5,2.5,1.0,4.0,,7.5,5.0,Fase 3 (7º e 8º ano),-1,6.460000000000008,,6.746,Ágata,2022,Fase 3,7° e 8° ano
RA-423,2,L,Feminino,2022,Escola Pública,,,Ágata,6.647,607.0,102.0,14.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.4,9.6,7.5,2.3,0.5,4.0,,7.667,5.0,Fase 3 (7º e 8º ano),-1,6.436000000000002,,6.647,Ágata,2022,Fase 3,7° e 8° ano
RA-424,2,L,Feminino,2022,Escola Pública,,,Ametista,7.94,159.0,21.0,5.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,10.0,7.5,7.5,10.0,5.0,,8.222,5.0,Fase 3 (7º e 8º ano),-1,6.4559999999999995,,7.94,Ametista,2022,Fase 3,7° e 8° ano
RA-425,2,L,Masculino,2022,Escola Pública,,,Topázio,8.117,110.0,15.0,4.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,10.0,7.5,9.0,9.0,9.0,,7.5,5.0,Fase 3 (7º e 8º ano),-1,6.670000000000007,,8.117,Topázio,2022,Fase 3,7° e 8° ano
RA-426,2,M,Feminino,2022,Escola Pública,,,Ágata,6.35,668.0,122.0,9.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.0,6.5,7.5,4.6,2.3,6.8,,7.111,5.0,Fase 4 (9º ano),-2,5.578000000000003,,6.35,Ágata,2022,Fase 4,9° ano
RA-427,2,M,Masculino,2022,Escola Pública,,,Ágata,6.245,696.0,128.0,11.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,8.0,8.5,7.5,2.5,3.0,2.0,,6.778,5.0,Fase 3 (7º e 8º ano),-1,6.394000000000002,,6.245,Ágata,2022,Fase 3,7° e 8° ano
RA-428,2,M,Masculino,2022,Escola Pública,,,Ametista,7.683,238.0,38.0,2.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,6.8,8.7,7.5,9.5,10.0,9.0,,7.111,5.0,Fase 3 (7º e 8º ano),-1,6.907999999999994,,7.683,Ametista,2022,Fase 3,7° e 8° ano
RA-429,2,M,Masculino,2019,Escola Pública,Ametista,Quartzo,Quartzo,5.811,749.0,138.0,12.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,10.0,5.3,7.5,2.7,2.8,2.5,,6.611,5.0,Fase 3 (7º e 8º ano),-1,6.387999999999998,,5.811,Quartzo,2022,Fase 3,7° e 8° ano
RA-430,2,M,Masculino,2022,Escola Pública,,,Ametista,7.585,281.0,43.0,3.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.5,8.6,7.5,8.5,7.5,9.5,,6.611,5.0,Fase 3 (7º e 8º ano),-1,6.428000000000003,,7.585,Ametista,2022,Fase 3,7° e 8° ano
RA-431,2,M,Masculino,2022,Escola Pública,,,Ametista,7.175,439.0,68.0,5.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.0,8.1,7.5,4.5,5.0,4.0,,6.778,10.0,Fase 2 (5º e 6º ano),0,6.494,,7.175,Ametista,2022,Fase 2,5° e 6° ano
RA-432,2,M,Feminino,2019,Escola Pública,Quartzo,Quartzo,Ágata,6.34,672.0,123.0,10.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,10.0,6.8,5.0,5.1,5.7,4.5,,6.611,5.0,Fase 4 (9º ano),-2,6.378000000000004,,6.34,Ágata,2022,Fase 4,9° ano
RA-433,2,M,Masculino,2022,Escola Pública,,,Quartzo,5.557,780.0,146.0,13.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,8.5,7.3,5.0,2.6,2.2,3.0,,5.778,5.0,Fase 3 (7º e 8º ano),-1,5.714000000000006,,5.557,Quartzo,2022,Fase 3,7° e 8° ano
RA-434,2,M,Masculino,2022,Escola Pública,,,Ametista,7.403,360.0,52.0,4.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.0,8.1,7.5,5.7,4.8,6.5,,6.778,10.0,Fase 2 (5º e 6º ano),0,6.373999999999995,,7.403,Ametista,2022,Fase 2,5° e 6° ano
RA-435,2,M,Feminino,2022,Escola Pública,,,Ágata,6.599,627.0,109.0,8.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,7.9,6.2,7.5,4.7,3.7,5.7,,6.444,10.0,Fase 2 (5º e 6º ano),0,5.901999999999994,,6.599,Ágata,2022,Fase 2,5° e 6° ano
RA-436,2,M,Masculino,2022,Escola Pública,,,Ágata,6.687,592.0,98.0,7.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.5,8.1,7.5,2.0,4.0,0.0,,6.611,10.0,Fase 2 (5º e 6º ano),0,6.4479999999999915,,6.687,Ágata,2022,Fase 2,5° e 6° ano
RA-437,2,M,Masculino,2022,Escola Pública,,,Ágata,6.875,531.0,82.0,6.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,8.5,8.3,7.5,5.8,6.0,5.5,,6.611,5.0,Fase 3 (7º e 8º ano),-1,6.327999999999996,,6.875,Ágata,2022,Fase 3,7° e 8° ano
RA-438,2,M,Masculino,2022,Escola Pública,,,Ametista,7.764,213.0,33.0,1.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,8.0,8.7,7.5,7.3,6.5,8.0,,6.889,10.0,Fase 2 (5º e 6º ano),0,6.3619999999999965,,7.764,Ametista,2022,Fase 2,5° e 6° ano
RA-439,2,M,Masculino,2022,Escola Pública,,,Quartzo,5.519,789.0,147.0,14.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.0,4.9,7.5,2.3,3.2,1.3,,6.5,5.0,Fase 3 (7º e 8º ano),-1,6.2900000000000045,,5.519,Quartzo,2022,Fase 3,7° e 8° ano
RA-440,2,P,Masculino,2022,Escola Pública,,,Ametista,7.329,382.0,56.0,6.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.5,9.0,6.9,5.5,6.0,5.0,,5.833,10.0,Fase 2 (5º e 6º ano),0,6.2239999999999895,,7.329,Ametista,2022,Fase 2,5° e 6° ano
RA-441,2,P,Feminino,2019,Escola Pública,Topázio,Topázio,Topázio,8.188,87.0,11.0,2.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,7.9,7.5,8.0,8.0,8.0,,8.333,10.0,Fase 2 (5º e 6º ano),0,6.914000000000007,,8.188,Topázio,2022,Fase 2,5° e 6° ano
RA-442,2,P,Feminino,2022,Escola Pública,,,Topázio,8.226,78.0,8.0,1.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,10.0,8.2,7.5,7.5,9.0,6.0,,8.222,10.0,Fase 2 (5º e 6º ano),0,6.916000000000011,,8.226,Topázio,2022,Fase 2,5° e 6° ano
RA-443,2,P,Feminino,2019,Escola Pública,Ametista,Ametista,Ametista,7.482,321.0,48.0,4.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,9.1,7.5,5.6,8.0,3.2,,8.5,5.0,Fase 3 (7º e 8º ano),-1,6.920000000000002,,7.482,Ametista,2022,Fase 3,7° e 8° ano
RA-444,2,P,Masculino,2018,Escola Pública,Ágata,Ametista,Ágata,6.665,601.0,99.0,8.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,7.2,5.0,3.1,1.5,4.7,,7.778,10.0,Fase 2 (5º e 6º ano),0,6.493999999999991,,6.665,Ágata,2022,Fase 2,5° e 6° ano
RA-445,2,P,Masculino,2022,Escola Pública,,,Ágata,6.924,518.0,79.0,7.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,9.4,7.5,3.8,0.0,7.5,,7.5,5.0,Fase 3 (7º e 8º ano),-1,6.340000000000003,,6.924,Ágata,2022,Fase 3,7° e 8° ano
RA-446,2,P,Feminino,2018,Escola Pública,Ágata,Quartzo,Ametista,7.367,373.0,54.0,5.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.5,8.9,5.0,6.9,6.3,7.5,,7.889,5.0,Fase 3 (7º e 8º ano),-1,6.791999999999998,,7.367,Ametista,2022,Fase 3,7° e 8° ano
RA-447,2,P,Feminino,2022,Escola Pública,,,Quartzo,5.607,773.0,144.0,10.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,0.0,7.0,7.5,3.5,7.0,0.0,,5.556,10.0,Fase 2 (5º e 6º ano),0,6.457999999999995,,5.607,Quartzo,2022,Fase 2,5° e 6° ano
RA-448,2,P,Feminino,2022,Escola Pública,,,Ametista,7.972,150.0,19.0,3.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,9.7,7.5,5.5,5.0,6.0,,8.111,10.0,Fase 2 (5º e 6º ano),0,6.597999999999997,,7.972,Ametista,2022,Fase 2,5° e 6° ano
RA-449,2,P,Feminino,2022,Escola Pública,,,Ágata,6.143,703.0,129.0,9.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,0.0,6.0,7.5,7.0,6.0,8.0,,8.111,5.0,Fase 3 (7º e 8º ano),-1,6.7079999999999895,,6.143,Ágata,2022,Fase 3,7° e 8° ano
RA-450,2,Q,Masculino,2021,Escola Pública,,Ágata,Ametista,7.843,188.0,29.0,2.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,10.0,9.1,7.5,7.5,6.8,8.2,,8.111,5.0,Fase 3 (7º e 8º ano),-1,6.507999999999994,,7.843,Ametista,2022,Fase 3,7° e 8° ano
RA-451,2,Q,Feminino,2019,Escola Pública,Ametista,Quartzo,Ágata,6.434,654.0,117.0,9.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.0,6.0,6.3,6.1,3.1,9.2,,6.889,5.0,Fase 3 (7º e 8º ano),-1,6.062000000000003,,6.434,Ágata,2022,Fase 3,7° e 8° ano
RA-452,2,Q,Feminino,2021,Escola Pública,,Ametista,Ágata,6.287,690.0,127.0,10.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.0,5.6,7.5,4.8,5.0,4.5,,7.167,5.0,Fase 3 (7º e 8º ano),-1,6.235999999999997,,6.287,Ágata,2022,Fase 3,7° e 8° ano
RA-453,2,Q,Feminino,2022,Escola Pública,,,Ametista,7.845,187.0,28.0,1.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.0,8.7,7.5,8.8,8.0,9.5,,7.778,5.0,Fase 3 (7º e 8º ano),-1,6.393999999999993,,7.845,Ametista,2022,Fase 3,7° e 8° ano
RA-454,2,Q,Masculino,2018,Escola Pública,Quartzo,Ágata,Quartzo,5.561,779.0,145.0,12.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,9.5,8.6,5.0,2.3,0.0,4.7,,5.444,5.0,Fase 4 (9º ano),-2,3.4220000000000006,,5.561,Quartzo,2022,Fase 4,9° ano
RA-455,2,Q,Feminino,2022,Escola Pública,,,Ágata,6.876,529.0,81.0,6.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,7.0,7.9,7.5,6.3,6.0,6.5,,7.278,5.0,Fase 3 (7º e 8º ano),-1,6.304000000000007,,6.876,Ágata,2022,Fase 3,7° e 8° ano
RA-456,2,Q,Feminino,2022,Escola Pública,,,Ametista,7.193,432.0,65.0,5.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,6.4,8.2,6.3,7.3,6.0,8.7,,8.389,5.0,Fase 3 (7º e 8º ano),-1,6.451999999999991,,7.193,Ametista,2022,Fase 3,7° e 8° ano
RA-457,2,Q,Feminino,2022,Escola Pública,,,Ametista,7.68,240.0,40.0,3.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,8.0,8.8,7.5,8.5,7.0,10.0,,7.667,5.0,Fase 3 (7º e 8º ano),-1,6.365999999999987,,7.68,Ametista,2022,Fase 3,7° e 8° ano
RA-458,2,Q,Masculino,2019,Escola Pública,Ametista,Quartzo,Ágata,6.512,642.0,113.0,8.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,8.0,7.7,7.5,5.6,4.7,6.5,,5.833,5.0,Fase 3 (7º e 8º ano),-1,6.353999999999997,,6.512,Ágata,2022,Fase 3,7° e 8° ano
RA-459,2,Q,Masculino,2019,Escola Pública,Ametista,Ametista,Ametista,7.28,401.0,59.0,4.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,7.0,9.1,8.1,7.3,5.3,9.2,,7.222,5.0,Fase 3 (7º e 8º ano),-1,5.455999999999994,,7.28,Ametista,2022,Fase 3,7° e 8° ano
RA-460,2,Q,Masculino,2022,Escola Pública,,,Quartzo,5.711,758.0,140.0,11.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,6.8,8.1,7.5,3.3,0.5,6.0,,5.056,5.0,Fase 3 (7º e 8º ano),-1,4.897999999999989,,5.711,Quartzo,2022,Fase 3,7° e 8° ano
RA-461,2,Q,Feminino,2018,Escola Pública,Ametista,Ametista,Quartzo,5.451,792.0,149.0,13.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,0.0,6.7,7.5,3.8,1.5,6.2,,7.222,5.0,Fase 3 (7º e 8º ano),-1,6.565999999999992,,5.451,Quartzo,2022,Fase 3,7° e 8° ano
RA-462,2,Q,Masculino,2022,Escola Pública,,,Ágata,6.626,616.0,106.0,7.0,3.0,Avaliador-5,Avaliador-27,Avaliador-15,,10.0,8.5,7.5,3.6,2.0,5.2,,6.778,5.0,Fase 4 (9º ano),-2,6.004000000000005,,6.626,Ágata,2022,Fase 4,9° ano
RA-463,2,U,Feminino,2020,Escola Pública,Quartzo,Quartzo,Ágata,6.41,658.0,119.0,11.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,10.0,7.8,7.5,2.5,2.0,3.0,,7.389,5.0,Fase 3 (7º e 8º ano),-1,6.221999999999994,,6.41,Ágata,2022,Fase 3,7° e 8° ano
RA-464,2,U,Feminino,2022,Escola Pública,,,Ágata,6.745,570.0,91.0,7.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,7.5,8.0,7.5,4.8,2.7,7.0,,7.722,5.0,Fase 3 (7º e 8º ano),-1,6.405999999999992,,6.745,Ágata,2022,Fase 3,7° e 8° ano
RA-465,2,U,Masculino,2019,Escola Pública,Topázio,Ametista,Ametista,8.012,139.0,18.0,1.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.0,7.9,7.5,7.8,9.3,6.3,,8.444,10.0,Fase 2 (5º e 6º ano),0,6.331999999999995,,8.012,Topázio,2022,Fase 2,5° e 6° ano
RA-466,2,U,Masculino,2022,Escola Pública,,,Ágata,6.826,546.0,85.0,6.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.5,9.7,7.5,3.3,0.5,6.0,,7.556,5.0,Fase 3 (7º e 8º ano),-1,6.147999999999998,,6.826,Ágata,2022,Fase 3,7° e 8° ano
RA-467,2,U,Feminino,2022,Escola Pública,,,Ágata,6.38,664.0,121.0,12.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,5.8,8.4,5.0,5.5,5.0,6.0,,7.111,5.0,Fase 3 (7º e 8º ano),-1,5.977999999999994,,6.38,Ágata,2022,Fase 3,7° e 8° ano
RA-468,2,U,Masculino,2022,Escola Pública,,,Ágata,6.313,682.0,125.0,13.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.5,6.7,7.5,4.1,4.5,3.7,,6.722,5.0,Fase 3 (7º e 8º ano),-1,6.085999999999991,,6.313,Ágata,2022,Fase 3,7° e 8° ano
RA-469,2,U,Feminino,2022,Escola Pública,,,Ametista,7.624,263.0,41.0,2.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,9.6,5.0,5.7,6.2,5.2,,7.833,10.0,Fase 2 (5º e 6º ano),0,5.973999999999986,,7.624,Ametista,2022,Fase 2,5° e 6° ano
RA-470,2,U,Feminino,2019,Escola Pública,Ametista,Ametista,Ametista,7.378,369.0,53.0,3.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.0,9.7,7.5,6.3,5.3,7.3,,7.5,5.0,Fase 3 (7º e 8º ano),-1,6.280000000000001,,7.378,Ametista,2022,Fase 3,7° e 8° ano
RA-471,2,U,Feminino,2020,Escola Pública,Ágata,Ágata,Ágata,6.535,639.0,112.0,9.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,3.5,8.5,5.0,6.3,5.7,6.8,,8.056,5.0,Fase 3 (7º e 8º ano),-1,6.137999999999995,,6.535,Ágata,2022,Fase 3,7° e 8° ano
RA-472,2,U,Feminino,2022,Escola Pública,,,Quartzo,5.93,735.0,133.0,14.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,7.0,7.5,2.0,1.8,2.2,,7.056,5.0,Fase 3 (7º e 8º ano),-1,5.687999999999995,,5.93,Quartzo,2022,Fase 3,7° e 8° ano
RA-473,2,U,Masculino,2019,Escola Pública,Ametista,Ametista,Quartzo,5.915,737.0,134.0,15.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.0,6.1,7.5,4.3,4.5,4.0,,5.889,5.0,Fase 3 (7º e 8º ano),-1,6.071999999999997,,5.915,Quartzo,2022,Fase 3,7° e 8° ano
RA-474,2,U,Masculino,2019,Escola Pública,Ametista,Ametista,Ágata,6.446,650.0,115.0,10.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.5,9.1,7.5,3.0,1.3,4.7,,6.0,5.0,Fase 3 (7º e 8º ano),-1,6.2599999999999945,,6.446,Ágata,2022,Fase 3,7° e 8° ano
RA-475,2,U,Feminino,2022,Escola Pública,,,Ametista,7.199,430.0,63.0,4.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.5,9.2,7.5,5.8,3.3,8.3,,7.667,5.0,Fase 3 (7º e 8º ano),-1,5.655999999999999,,7.199,Ametista,2022,Fase 3,7° e 8° ano
RA-476,2,U,Feminino,2019,Escola Pública,Ágata,Ametista,Ágata,6.931,513.0,78.0,5.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,9.0,9.3,4.4,5.5,5.0,6.0,,7.556,5.0,Fase 3 (7º e 8º ano),-1,6.197999999999988,,6.931,Ágata,2022,Fase 3,7° e 8° ano
RA-477,2,U,Masculino,2022,Escola Pública,,,Quartzo,3.633,860.0,155.0,16.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,0.0,5.0,5.6,0.7,0.3,1.0,,4.5,5.0,Fase 3 (7º e 8º ano),-1,5.329999999999999,,3.633,Quartzo,2022,Fase 3,7° e 8° ano
RA-478,2,U,Feminino,2019,Escola Pública,Ametista,Ametista,Ágata,6.709,588.0,96.0,8.0,3.0,Avaliador-5,Avaliador-2,Avaliador-15,,8.5,9.1,5.6,4.9,3.8,6.0,,7.056,5.0,Fase 3 (7º e 8º ano),-1,5.877999999999997,,6.709,Ágata,2022,Fase 3,7° e 8° ano
RA-479,1,A,Masculino,2020,Rede Decisão,Topázio,Topázio,Topázio,8.465,40.0,5.0,1.0,3.0,Avaliador-4,Avaliador-2,Avaliador-15,,8.0,9.2,7.5,9.8,10.0,9.7,,9.5,5.0,Fase 2 (5º e 6º ano),-1,7.149999999999999,,8.465,Topázio,2022,Fase 2,5° e 6° ano
RA-480,1,A,Feminino,2021,Escola Pública,,Ametista,Ametista,7.502,309.0,81.0,6.0,3.0,Avaliador-4,Avaliador-2,Avaliador-15,,9.0,8.8,7.5,6.3,6.8,5.7,,8.444,5.0,Fase 2 (5º e 6º ano),-1,6.431999999999984,,7.502,Ametista,2022,Fase 2,5° e 6° ano
RA-481,1,A,Masculino,2021,Escola Pública,,Topázio,Ametista,7.21,424.0,109.0,9.0,3.0,Avaliador-4,Avaliador-2,Avaliador-15,,9.0,8.0,7.5,5.2,5.7,4.7,,6.889,10.0,Fase 1 (4º ano),0,5.422000000000002,,7.21,Ametista,2022,Fase 1,4° ano
RA-482,1,A,Masculino,2021,Escola Pública,,Ametista,Ágata,6.866,532.0,134.0,10.0,3.0,Avaliador-4,Avaliador-2,Avaliador-15,,10.0,7.9,7.5,5.5,4.3,6.7,,6.833,5.0,Fase 2 (5º e 6º ano),-1,5.693999999999999,,6.866,Ágata,2022,Fase 2,5° e 6° ano
RA-483,1,A,Feminino,2019,Escola Pública,Ametista,Ágata,Quartzo,5.263,805.0,185.0,13.0,3.0,Avaliador-4,Avaliador-2,Avaliador-15,,9.0,4.8,5.0,2.4,2.0,2.8,,6.833,5.0,Fase 2 (5º e 6º ano),-1,5.564,,5.263,Quartzo,2022,Fase 2,5° e 6° ano
RA-484,1,A,Masculino,2022,Escola Pública,,,Ágata,6.71,587.0,144.0,11.0,3.0,Avaliador-4,Avaliador-2,Avaliador-15,,9.5,8.7,5.0,6.5,8.0,5.0,,6.389,5.0,Fase 2 (5º e 6º ano),-1,4.421999999999997,,6.71,Ágata,2022,Fase 2,5° e 6° ano
RA-485,1,A,Masculino,2020,Escola Pública,Topázio,Ágata,Quartzo,4.742,837.0,191.0,14.0,3.0,Avaliador-4,Avaliador-2,Avaliador-15,,9.5,4.0,7.5,1.2,1.0,1.3,,5.444,5.0,Fase 2 (5º e 6º ano),-1,4.131999999999998,,4.742,Quartzo,2022,Fase 2,5° e 6° ano
RA-486,1,A,Feminino,2020,Escola Pública,Topázio,Topázio,Ametista,7.621,264.0,68.0,4.0,3.0,Avaliador-4,Avaliador-2,Avaliador-15,,10.0,9.9,7.5,7.3,6.7,7.8,,7.222,5.0,Fase 2 (5º e 6º ano),-1,4.866000000000001,,7.621,Ametista,2022,Fase 2,5° e 6° ano
